agent_id,name,description,type,platform,system_prompt,file_system,code_evaluation,sql_database,skills,metrics,ask_user_to_clarify,widgets,memory,inject_bootstrap_files,scheduler,topology,tools,subagents,input_artifacts,output_artifacts,approval_policy,eval_policy,owner_role
ORCH_DORMANT_REACTIVATION,Dormant Reactivation Orchestrator,沉睡会员唤醒场景编排，串联洞察、分群、权益、内容、审批、执行和复盘。,Orchestrator,Both,你是Agentic CDP场景编排Agent。先确认业务目标、约束、权限和成功指标；再调用被允许的Task Agent完成数据洞察、策略生成、治理校验、执行草案和效果回流。输出必须包含决策依据、调用链、可审计Artifact、风险和下一步。,Y,N,retail_cdp_demo.sqlite,SKILL_AUDIENCE_DISCOVERY;SKILL_CHURN_RISK_SCORING;SKILL_NBA_STRATEGY_DESIGN;SKILL_CAMPAIGN_ORCHESTRATION;SKILL_MEASUREMENT_ATTRIBUTION,Y,Y,Y,Y,Y,Y,Y,T_METRICS_QUERY;T_WIDGET_RENDER;T_AUDIT_LOG;T_SCHEDULER_ADD_MESSAGE,TASK_AUDIENCE_DISCOVERY;TASK_CHURN_RISK_SCORING;TASK_OFFER_OPTIMIZATION;TASK_CHANNEL_TIMING_SELECTION;TASK_CONTENT_GENERATION;TASK_CAMPAIGN_EXECUTION;TASK_EFFECT_MEASUREMENT;TASK_CONSENT_POLICY_CHECK,"business_goal, customer_context, policy_context, scenario_memory","scenario_plan, delegated_task_results, approval_packet, execution_trace","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,CRM Owner
ORCH_REPLENISHMENT_NBA,Replenishment NBA Orchestrator,周期购和下一最佳行动编排，面向补货提醒、商品推荐和旅程触发。,Orchestrator,Both,你是Agentic CDP场景编排Agent。先确认业务目标、约束、权限和成功指标；再调用被允许的Task Agent完成数据洞察、策略生成、治理校验、执行草案和效果回流。输出必须包含决策依据、调用链、可审计Artifact、风险和下一步。,Y,N,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY;SKILL_NBA_STRATEGY_DESIGN;SKILL_CHANNEL_TIMING_OPTIMIZATION;SKILL_CAMPAIGN_ORCHESTRATION;SKILL_MEASUREMENT_ATTRIBUTION,Y,Y,Y,Y,Y,Y,Y,T_METRICS_QUERY;T_WIDGET_RENDER;T_AUDIT_LOG;T_SCHEDULER_ADD_MESSAGE,TASK_AUDIENCE_DISCOVERY;TASK_PRODUCT_RECOMMENDATION;TASK_OFFER_OPTIMIZATION;TASK_CHANNEL_TIMING_SELECTION;TASK_CONTENT_GENERATION;TASK_CAMPAIGN_EXECUTION;TASK_EFFECT_MEASUREMENT;TASK_CONSENT_POLICY_CHECK,"business_goal, customer_context, policy_context, scenario_memory","scenario_plan, delegated_task_results, approval_packet, execution_trace","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,CRM Owner
ORCH_VIP_CLIENTELING,VIP Clienteling Orchestrator,VIP导购经营编排，生成客户卡、商品组合和导购跟进任务。,Orchestrator,Both,你是Agentic CDP场景编排Agent。先确认业务目标、约束、权限和成功指标；再调用被允许的Task Agent完成数据洞察、策略生成、治理校验、执行草案和效果回流。输出必须包含决策依据、调用链、可审计Artifact、风险和下一步。,Y,N,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY;SKILL_NBA_STRATEGY_DESIGN;SKILL_CLIENTELING_TASKING;SKILL_MEASUREMENT_ATTRIBUTION,Y,Y,Y,Y,Y,Y,Y,T_METRICS_QUERY;T_WIDGET_RENDER;T_AUDIT_LOG,TASK_AUDIENCE_DISCOVERY;TASK_PRODUCT_RECOMMENDATION;TASK_CONTENT_GENERATION;TASK_SA_FOLLOWUP_TASKING;TASK_EFFECT_MEASUREMENT;TASK_CONSENT_POLICY_CHECK,"business_goal, customer_context, policy_context, scenario_memory","scenario_plan, delegated_task_results, approval_packet, execution_trace","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,CRM Owner
ORCH_SERVICE_RECOVERY,Service Recovery Orchestrator,售后体验修复场景编排，连接投诉识别、补偿策略、工单和回访。,Orchestrator,Both,你是Agentic CDP场景编排Agent。先确认业务目标、约束、权限和成功指标；再调用被允许的Task Agent完成数据洞察、策略生成、治理校验、执行草案和效果回流。输出必须包含决策依据、调用链、可审计Artifact、风险和下一步。,Y,N,retail_cdp_demo.sqlite,SKILL_CONTEXT_ASSEMBLY;SKILL_CONSENT_GUARDRAIL;SKILL_EXECUTION_AUDIT;SKILL_MEASUREMENT_ATTRIBUTION,Y,Y,Y,Y,Y,Y,Y,T_METRICS_QUERY;T_WIDGET_RENDER;T_AUDIT_LOG;T_SCHEDULER_ADD_MESSAGE,TASK_SERVICE_RECOVERY_PLAYBOOK;TASK_OFFER_OPTIMIZATION;TASK_SA_FOLLOWUP_TASKING;TASK_EFFECT_MEASUREMENT;TASK_CONSENT_POLICY_CHECK,"business_goal, customer_context, policy_context, scenario_memory","scenario_plan, delegated_task_results, approval_packet, execution_trace","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,CRM Owner
TASK_AUDIENCE_DISCOVERY,Audience Discovery Agent,把业务目标转成可解释、可物化、可复跑的CDP人群规则。,Task,Data Agent Platform,你是Data Agent平台上的零售CDP能力Agent。只基于授权SQL、指标和输入Artifact推理；所有分群、评分和结论必须给出口径、样本量、SQL或可复现规则；不得直接执行外部触达动作。,N,Y,retail_cdp_demo.sqlite,SKILL_AUDIENCE_DISCOVERY;SKILL_CONTEXT_ASSEMBLY,Y,N,Y,Y,N,N,Y,T_SQL_QUERY;T_SEGMENT_MATERIALIZE;T_WIDGET_RENDER,UTIL_SQL_QUERY;UTIL_IDENTITY_RESOLUTION;UTIL_SEGMENT_RULE_BUILDER;UTIL_METRIC_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
TASK_CHURN_RISK_SCORING,Churn Risk Scoring Agent,对客户流失风险、沉睡原因和召回优先级进行评分与解释。,Task,Data Agent Platform,你是Data Agent平台上的零售CDP能力Agent。只基于授权SQL、指标和输入Artifact推理；所有分群、评分和结论必须给出口径、样本量、SQL或可复现规则；不得直接执行外部触达动作。,N,Y,retail_cdp_demo.sqlite,SKILL_CHURN_RISK_SCORING,Y,N,N,Y,N,N,Y,T_SQL_QUERY;T_PROPENSITY_SCORE;T_METRICS_QUERY,UTIL_SQL_QUERY;UTIL_RFM_COMPUTATION;UTIL_PROPENSITY_SCORE;UTIL_METRIC_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
TASK_PRODUCT_RECOMMENDATION,Product Recommendation Agent,结合交易、行为、偏好和库存生成商品推荐或替代推荐。,Task,Data Agent Platform,你是Data Agent平台上的零售CDP能力Agent。只基于授权SQL、指标和输入Artifact推理；所有分群、评分和结论必须给出口径、样本量、SQL或可复现规则；不得直接执行外部触达动作。,N,Y,retail_cdp_demo.sqlite,SKILL_NBA_STRATEGY_DESIGN,Y,N,Y,Y,N,N,Y,T_SQL_QUERY;T_PRODUCT_RECOMMEND;T_WIDGET_RENDER,UTIL_SQL_QUERY;UTIL_PRODUCT_AFFINITY;UTIL_INVENTORY_CHECK;UTIL_NBA_RULE_ENGINE,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Data Product Owner
TASK_OFFER_OPTIMIZATION,Offer Optimization Agent,在预算、毛利、权益等级和风险约束下生成优惠/补偿/权益策略。,Task,Both,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,N,N,retail_cdp_demo.sqlite,SKILL_OFFER_POLICY;SKILL_CONSENT_GUARDRAIL,N,N,N,Y,N,N,Y,T_SQL_QUERY;T_OFFER_ALLOCATE;T_AUDIT_LOG,UTIL_COUPON_BUDGET_CALC;UTIL_GUARDRAIL_VALIDATOR;UTIL_METRIC_LOGGER,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
TASK_CHANNEL_TIMING_SELECTION,Channel Timing Agent,选择触达渠道、时间窗和频控策略。,Task,Process Agent Platform,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,N,N,N/A,SKILL_CHANNEL_TIMING_OPTIMIZATION;SKILL_CONSENT_GUARDRAIL,N,N,N,Y,N,N,Y,T_CONSENT_CHECK;T_CHANNEL_PREVIEW;T_AUDIT_LOG,UTIL_CONSENT_CHECK;UTIL_CHANNEL_CONNECTOR;UTIL_GUARDRAIL_VALIDATOR,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
TASK_CONTENT_GENERATION,Content Generation Agent,生成多渠道文案、导购话术、A/B版本和合规说明。,Task,Process Agent Platform,你是Process Agent平台上的零售运营执行Agent。你负责把已验证的数据洞察转成审批、内容、旅程、工单或调度动作；执行前必须检查同意、频控、预算、库存和人工审批规则。,Y,N,N/A,SKILL_CONTENT_VARIANT_GENERATION;SKILL_CONSENT_GUARDRAIL,N,N,N,Y,N,N,Y,T_CONTENT_RENDER;T_AUDIT_LOG,UTIL_CONTENT_TEMPLATE_RENDERER;UTIL_GUARDRAIL_VALIDATOR,"typed_task_request, selected_context, policy_snapshot","typed_result, evidence, warnings, audit_event","Human approval on budget, consent ambiguity, negative sentiment, or irreversible execution",golden cases + SQL row-count check + policy assertions + output schema validation,Marketing Operations Owner
