store_id,store_name,city,province,region,city_tier,store_type,manager,opening_date
ST001,上海天街店,上海,上海,华东,一线,旗舰店,李娜,2025-01-04
ST002,北京IFS店,北京,北京,华北,一线,旗舰店,李娜,2021-04-10
ST003,广州中心店,广州,广东,华南,一线,社区店,张伟,2022-08-17
ST004,深圳万象城店,深圳,广东,华南,一线,购物中心店,李娜,2022-11-21
ST005,杭州万象城店,杭州,浙江,华东,新一线,社区店,刘洋,2024-05-30
ST006,成都银泰店,成都,四川,西南,新一线,购物中心店,刘洋,2023-01-27
ST007,武汉天街店,武汉,湖北,华中,新一线,旗舰店,陈晨,2022-10-15
ST008,南京中心店,南京,江苏,华东,新一线,购物中心店,王敏,2024-01-13
ST009,西安万象城店,西安,陕西,西北,新一线,购物中心店,赵鑫,2024-04-15
ST010,重庆万象城店,重庆,重庆,西南,新一线,购物中心店,赵鑫,2022-01-12
ST011,苏州中心店,苏州,江苏,华东,二线,购物中心店,王敏,2022-06-06
ST012,长沙IFS店,长沙,湖南,华中,二线,奥莱店,王敏,2025-04-13
