product_id,sku,product_name,category,subcategory,brand_line,gender,season,unit_price,replenishment_cycle_days,launch_date,is_hero_sku
PRD0001,FOO-SNE-001,城市轻跑鞋1代,Footwear,Sneaker,Urban,Female,SS26,864.11,95,2025-01-18,N
PRD0002,FOO-SNE-002,城市轻跑鞋2代,Footwear,Sneaker,Urban,Female,SS26,682.27,80,2024-06-25,N
PRD0003,FOO-SNE-003,城市轻跑鞋3代,Footwear,Sneaker,Urban,Female,FW25,547.04,93,2026-05-14,N
PRD0004,FOO-SNE-004,城市轻跑鞋4代,Footwear,Sneaker,Premium,Female,Core,895.9,101,2024-07-13,Y
PRD0005,FOO-SNE-005,城市轻跑鞋5代,Footwear,Sneaker,Core,Male,SS26,771.34,76,2025-08-05,N
PRD0006,FOO-SNE-006,城市轻跑鞋6代,Footwear,Sneaker,Urban,Female,Core,670.27,88,2025-08-13,N
PRD0007,FOO-SNE-007,城市轻跑鞋7代,Footwear,Sneaker,Premium,Female,Festival,947.13,107,2026-03-21,Y
PRD0008,FOO-SNE-008,城市轻跑鞋8代,Footwear,Sneaker,Urban,Male,Core,597.78,82,2025-11-30,N
PRD0009,FOO-SNE-009,城市轻跑鞋9代,Footwear,Sneaker,Urban,Male,Festival,684.34,84,2024-07-10,N
PRD0010,FOO-TRA-001,综训运动鞋1代,Footwear,Trainer,Urban,Male,FW25,916.91,127,2024-06-02,N
PRD0011,FOO-TRA-002,综训运动鞋2代,Footwear,Trainer,Premium,Male,Festival,1081.28,108,2025-08-25,N
PRD0012,FOO-TRA-003,综训运动鞋3代,Footwear,Trainer,Urban,Female,FW25,696.97,135,2025-11-21,Y
PRD0013,FOO-TRA-004,综训运动鞋4代,Footwear,Trainer,Performance,Unisex,SS26,986.04,111,2026-03-25,Y
PRD0014,FOO-TRA-005,综训运动鞋5代,Footwear,Trainer,Urban,Male,FW25,601.24,138,2025-05-21,N
PRD0015,FOO-TRA-006,综训运动鞋6代,Footwear,Trainer,Core,Male,Festival,1088.95,137,2024-07-02,N
PRD0016,FOO-TRA-007,综训运动鞋7代,Footwear,Trainer,Premium,Female,SS26,1011.7,125,2024-08-26,N
PRD0017,FOO-TRA-008,综训运动鞋8代,Footwear,Trainer,Premium,Female,FW25,911.77,129,2026-03-28,N
PRD0018,FOO-TRA-009,综训运动鞋9代,Footwear,Trainer,Premium,Unisex,SS26,965.82,125,2024-10-29,N
PRD0019,APP-JAC-001,防晒机能外套1代,Apparel,Jacket,Premium,Female,Festival,1011.51,190,2024-12-14,N
PRD0020,APP-JAC-002,防晒机能外套2代,Apparel,Jacket,Urban,Male,SS26,1171.54,167,2024-10-22,N
PRD0021,APP-JAC-003,防晒机能外套3代,Apparel,Jacket,Performance,Unisex,FW25,944.7,175,2026-02-06,N
PRD0022,APP-JAC-004,防晒机能外套4代,Apparel,Jacket,Core,Unisex,Core,697.51,177,2024-11-06,N
PRD0023,APP-JAC-005,防晒机能外套5代,Apparel,Jacket,Urban,Male,SS26,1103.32,189,2026-02-09,N
PRD0024,APP-JAC-006,防晒机能外套6代,Apparel,Jacket,Core,Male,Festival,1107.82,177,2024-12-26,N
PRD0025,APP-JAC-007,防晒机能外套7代,Apparel,Jacket,Core,Female,SS26,1072.0,190,2026-03-09,N
PRD0026,APP-JAC-008,防晒机能外套8代,Apparel,Jacket,Urban,Female,Core,947.34,199,2025-09-25,N
PRD0027,APP-JAC-009,防晒机能外套9代,Apparel,Jacket,Core,Unisex,Core,993.9,200,2025-11-18,Y
PRD0028,APP-TEE-001,速干短袖1代,Apparel,Tee,Urban,Female,SS26,250.72,130,2026-04-18,N
