from_agent_id,to_agent_id,allowed,purpose,delegation_contract,non_technical_description
ORCH_DORMANT_REACTIVATION,TASK_AUDIENCE_DISCOVERY,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_AUDIENCE_DISCOVERY，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_CHURN_RISK_SCORING,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_CHURN_RISK_SCORING，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_OFFER_OPTIMIZATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_OFFER_OPTIMIZATION，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_CHANNEL_TIMING_SELECTION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_CHANNEL_TIMING_SELECTION，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_CONTENT_GENERATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_CONTENT_GENERATION，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_CAMPAIGN_EXECUTION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_CAMPAIGN_EXECUTION，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_EFFECT_MEASUREMENT,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_EFFECT_MEASUREMENT，但不能绕过治理检查。
ORCH_DORMANT_REACTIVATION,TASK_CONSENT_POLICY_CHECK,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Dormant Reactivation Orchestrator 可以把明确子任务交给 TASK_CONSENT_POLICY_CHECK，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_AUDIENCE_DISCOVERY,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_AUDIENCE_DISCOVERY，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_PRODUCT_RECOMMENDATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_PRODUCT_RECOMMENDATION，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_OFFER_OPTIMIZATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_OFFER_OPTIMIZATION，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_CHANNEL_TIMING_SELECTION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_CHANNEL_TIMING_SELECTION，但不能绕过治理检查。
ORCH_REPLENISHMENT_NBA,TASK_CONTENT_GENERATION,Y,场景编排调用能力Agent,typed input artifact -> typed result artifact; caller keeps final accountability,Replenishment NBA Orchestrator 可以把明确子任务交给 TASK_CONTENT_GENERATION，但不能绕过治理检查。
