skill_id,skill_name,description,input_schema,procedure,output_schema,guardrails,eval_cases
SKILL_CONTEXT_ASSEMBLY,Customer Context Assembly,聚合客户、交易、行为、权益、同意和知识上下文。,customer_id or segment_rule; context_scope,1. 校验权限 2. 查询Customer 360 3. 附加最近交易/行为/权益 4. 生成证据摘要,customer_context_bundle with evidence_refs,缺失同意记录时必须标记unknown_consent,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_AUDIENCE_DISCOVERY,Audience Discovery,把业务目标转成可解释分群规则。,business_goal; constraints; sql_database,1. 提取目标与排除条件 2. 查询候选人群 3. 输出SQL与口径 4. 给出可解释样本,"segment_spec, sql_condition, population_count",SQL必须只读且带LIMIT用于样本检查,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CHURN_RISK_SCORING,Churn Risk Scoring,识别流失/沉睡风险和召回优先级。,customer_features; recency_window; scenario,1. 计算RFM 2. 合并投诉与退订 3. 生成risk score 4. 输出原因码,ranked_customer_list with reason_codes,不得把无触达许可客户放入可执行名单,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_NBA_STRATEGY_DESIGN,Next Best Action Strategy,生成商品、权益、渠道和时机组合。,customer_context; product_catalog; inventory,1. 推荐候选 2. 校验库存 3. 匹配权益 4. 产出NBA列表,nba_candidates with confidence and guardrails,库存低于阈值必须改推替代或阻断,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_OFFER_POLICY,Offer Policy,权益、券和补偿策略生成。,segment; budget; margin_floor; tier_policy,1. 分层权益 2. 预算模拟 3. 毛利保护 4. 审批门槛判断,"offer_plan, budget_impact, approval_required",不得向退订客户生成营销券,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CONTENT_VARIANT_GENERATION,Content Variant Generation,生成多渠道文案和话术。,persona; offer; product; channel,1. 选择模板 2. 渲染变量 3. 生成A/B版本 4. 进行合规检查,content_variants by channel,不得包含夸大承诺、敏感属性推断或违规价格暗示,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CHANNEL_TIMING_OPTIMIZATION,Channel Timing Optimization,选择渠道、时间窗和频控。,customer_preference; consent; contact_history,1. 过滤无许可渠道 2. 计算最佳时间窗 3. 应用频控 4. 输出触达计划,channel_plan with suppression list,频控冲突必须进入suppression,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CAMPAIGN_ORCHESTRATION,Campaign Orchestration,创建活动草案、旅程节点和调度。,segment_spec; content; offer; approval_policy,1. 组装活动包 2. 生成旅程节点 3. 创建审批 4. 调度执行,"campaign_draft, journey_steps, schedule_jobs",默认只创建草案，不直接发送,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CLIENTELING_TASKING,Clienteling Tasking,生成导购/客服任务和客户卡。,customer_context; product_bundle; playbook,1. 生成客户卡 2. 生成跟进话术 3. 创建CRM任务 4. 设置SLA,"crm_tasks, customer_cards",任务必须包含业务原因和可执行下一步,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_MEASUREMENT_ATTRIBUTION,Measurement Attribution,衡量活动效果和Agent运行质量。,campaign_id; holdout_rule; metric_window,1. 拉取曝光/转化 2. 计算漏斗与增量 3. 归因 4. 输出复盘,"measurement_report, metric_queries",必须列出归因假设和不可归因部分,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_CONSENT_GUARDRAIL,Consent and Policy Guardrail,执行许可、退订、频控、预算和审批规则。,action_request; customer_ids; policy_context,1. 检查许可 2. 检查频控 3. 检查预算/库存 4. 返回allow/block/approval,policy_decision with reasons,任何unknown不得默认allow,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
SKILL_EXECUTION_AUDIT,Execution Audit,记录调用链、审批和可回滚信息。,agent_run; tool_calls; artifacts,1. 记录输入摘要 2. 记录工具调用 3. 记录策略结果 4. 生成审计ID,"audit_event, trace_id, rollback_hint",不得记录明文PII,positive_case; edge_case_missing_consent; edge_case_small_population; regression_case_schema
