tool_id,tool_name,category,purpose,method_signature,input_schema,output_schema,auth_scope,side_effect,idempotency,error_contract,example_invocation
T_SQL_QUERY,cdp.sql.query,Data,只读SQL查询SQLite demo库。,"query(sql: string, params?: object, max_rows?: number)","sql: string, params?: object, max_rows?: number","{""columns"":[], ""rows"":[], ""row_count"":0, ""query_hash"":""""}",read:retail_cdp_demo.sqlite,No side effect,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.sql.query({""demo"": true})"
T_PROFILE_GET,cdp.customer_profile.get,Data,按customer_id读取Customer 360摘要。,"get(customer_id: string, sections?: string[])","customer_id: string, sections?: string[]","{""customer"":{}, ""transactions"":[], ""consent"":{}}",read:customers,No side effect,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.customer_profile.get({""demo"": true})"
T_SEGMENT_MATERIALIZE,cdp.segment.materialize,Data,将分群规则物化为名单。,"materialize(segment_rule: object, ttl_hours: number)","segment_rule: object, ttl_hours: number","{""segment_id"":"""", ""population_count"":0, ""sample_ids"":[]}",write:segments_demo,Creates segment artifact,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.segment.materialize({""demo"": true})"
T_PROPENSITY_SCORE,cdp.propensity.score,Data,计算或读取倾向分。,"score(model_name: string, customer_ids?: string[], features?: object)","model_name: string, customer_ids?: string[], features?: object","{""scores"":[{""customer_id"":"""",""score"":0,""reasons"":[]}]}",read:features,No side effect,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.propensity.score({""demo"": true})"
T_PRODUCT_RECOMMEND,cdp.product.recommend,Data,生成商品或替代商品推荐。,"recommend(customer_id: string, scenario: string, limit: number)","customer_id: string, scenario: string, limit: number","{""items"":[{""product_id"":"""",""rank"":1,""reason"":""""}]}","read:products,inventory",No side effect,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.product.recommend({""demo"": true})"
T_OFFER_ALLOCATE,cdp.offer.allocate,Process,生成券、权益或补偿建议。,"allocate(segment_id: string, policy: object, budget_cap: number)","segment_id: string, policy: object, budget_cap: number","{""offer_plan"":[], ""budget_impact"":0, ""approval_required"":false}",write:offer_artifacts,Creates offer artifact,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.offer.allocate({""demo"": true})"
T_CONSENT_CHECK,cdp.consent.check,Governance,检查营销许可、渠道许可和频控。,"check(customer_ids: string[], channel: string, action_type: string)","customer_ids: string[], channel: string, action_type: string","{""allowed_ids"":[], ""blocked"":[{""customer_id"":"""",""reason"":""""}]}","read:consents,contact_policy",No side effect,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","cdp.consent.check({""demo"": true})"
T_CONTENT_RENDER,content.template.render,Process,渲染多渠道内容模板。,"render(template_id: string, variables: object, channel: string)","template_id: string, variables: object, channel: string","{""content_id"":"""", ""variants"":[], ""policy_flags"":[]}",write:content_artifacts,Creates content artifact,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","content.template.render({""demo"": true})"
T_CAMPAIGN_DRAFT,ma.campaign.create_draft,Process,创建营销活动草案和旅程节点。,"create_draft(brief: object, segment_id: string, content_ids: string[])","brief: object, segment_id: string, content_ids: string[]","{""campaign_draft_id"":"""", ""approval_url"":"""", ""status"":""draft""}",write:campaign_drafts,Creates draft only,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","ma.campaign.create_draft({""demo"": true})"
T_CHANNEL_PREVIEW,channel.preview,Process,生成渠道发送预览包。,"preview(channel: string, audience_sample: string[], content_id: string)","channel: string, audience_sample: string[], content_id: string","{""preview_url"":"""", ""sample_payloads"":[]}",write:preview_artifacts,Creates preview artifact,Required for write tools; read tools are naturally idempotent,"Return status, error_code, human_message, retryable, audit_id","channel.preview({""demo"": true})"
